 Metabolite_name	RefMet_name	100599-b1-C-M-001-C-M-001	100599-b1-C-M-002-C-M-002	100599-b1-C-M-A66-C-M-A66	100599-b1-C-M-A78-C-M-A78	100599-b1-MS-M-115-MS-M-115	100599-b1-MS-M-118-MS-M-118	100599-b1-MS-M-A22-MS-M-A22	100599-b1-MS-M-A59-MS-M-A59
Factors	-	Sample source:C57 mouse serum | transfected:control	Sample source:C57 mouse serum | transfected:control	Sample source:C57 mouse serum | transfected:control	Sample source:C57 mouse serum | transfected:control	Sample source:C57 mouse serum | transfected:triclosan exposured group	Sample source:C57 mouse serum | transfected:triclosan exposured group	Sample source:C57 mouse serum | transfected:triclosan exposured group	Sample source:C57 mouse serum | transfected:triclosan exposured group
1-Methylhistidine	1-Methylhistidine	1218.0368	892.4023	821.0477	1052.2631	832.9474	773.6057	940.7124	1209.6184
2-Amino-2-(4-hydroxyphenyl)aceticacid									
2-Methylhippuricacid	2-Methylhippuric acid	4.8304	5.5772	2.9365	4.5405	7.9662	5.9864	2.5260	2.7350
3-Chloro-L-Tyrosine	3-Chlorotyrosine								
3-Methylhistidine	3-Methylhistidine	1172.5300	763.5333	817.7348	1003.3444	866.6276	770.6468	992.7943	1204.0272
4-Hydroxyproline	cis-4-Hydroxyproline	6651.5937	4637.2457	4866.4786	7033.6370	3348.3928	6557.6955	5681.2211	8592.1197
5-hydroxytryptophan	5-Hydroxy-tryptophan								
6-aminohexanoicacid	6-Aminocaproic acid	18.8934	13.1751	20.5892	14.6676	16.1840	19.3895	7.1147	3.1651
Alanyl-Valin		97.1357	91.6143	81.9736	104.4841	87.5686	82.2724	80.7085	91.3608
beta-Alanine	beta-Alanine	1905.5101	582.5338	798.4911	1254.1922		1173.7819	737.9852	
Biocytin	Biocytin								
Carnosine	Carnosine	517.0830	339.1216	504.9894	249.7282	299.8710	269.3395	169.2526	376.5743
Creatine	Creatine	70130.7324	51807.3154	59074.9535	51562.3842	56290.1082	55139.8281	44454.9534	59855.5526
D-2-Aminobutyricacid	2R-Aminobutyric acid								
Dimethylglycine	Dimethylglycine	465.0180	353.6162	318.6974	416.5259	315.0315	382.0581	404.0189	482.9783
D-Plenylglycinol									
ethanolamine	Ethanolamine	3645.2469	2471.7183	2692.9591	3430.1277	1659.6958	2677.9688	2597.4915	1910.4877
Fumaricacid	Fumaric acid	3706.6516	3324.9017	2688.6889	4356.1697	2306.2001	3519.4521	3052.6246	2535.9140
