 Metabolite_name	RefMet_name	100599-b1-C-M-001-C-M-001	100599-b1-C-M-002-C-M-002	100599-b1-C-M-A66-C-M-A66	100599-b1-C-M-A78-C-M-A78	100599-b1-MS-M-115-MS-M-115	100599-b1-MS-M-118-MS-M-118	100599-b1-MS-M-A22-MS-M-A22	100599-b1-MS-M-A59-MS-M-A59
gamma-Aminobutyricacid	gamma-Aminobutyric acid	49.9185	43.8278	38.3336	45.1180	30.7167	57.9787	43.8709	40.1762
gamma-Glutamylalanine	gamma-Glutamylalanine								
Glutathione	Glutathione								
Glycylleucine	Gly-Leu								
Glycyl-L-Proline	Gly-Pro	71.9514	57.9883	63.4107	71.8808	59.4277	63.5215	66.2423	74.6481
H-ASP-PHE-OH									
hippuric acid	Hippuric acid	2045.1289	1738.3152	902.8695	1634.8886	313.5725	633.8743	357.1191	171.6618
Homocitrulline	Homocitrulline	167.9403	124.2819	117.8408	120.4493	110.2939	117.5403	198.4107	173.5120
Homocysteine	Homocysteine								
Homo-L-arginine	Homoarginine	95.8047	50.5085	60.8881	61.5837	24.8107	59.9531	56.5892	35.7042
Kynurenicacid	Kynurenic acid	116.7470	87.2510	55.8489	123.9967	13.1152	30.9230	25.4101	16.6244
L-3-Hydroxykynurenine	Hydroxykynurenine								
L-Alanine	Alanine	146651.8883	114125.6092	113460.3287	125718.1231	118178.9700	123909.6298	109169.4258	146999.2229
L-alanyl-Glycine	Ala-Gly								
L-Anserine	Anserine	1126.5257	786.5927	1028.8588	491.5196	797.0823	517.0966	356.5001	635.3830
L-Arginine	Arginine	50823.8084	39683.5459	45473.2686	27108.9741	37948.7426	61234.0052	58103.7831	45734.3737
L-Asparagine	Asparagine	8077.5675	5859.4677	5550.9854	7500.6436	6824.4264	7889.7503	8164.1064	8966.8826
L-Aspartic acid	Aspartic acid	1136.3180	2237.0327	1254.5106	2574.6467	462.9383	2951.1528	1772.3139	508.2493
L-Cystathionine	Cystathionine	479.3005	297.8354	253.6004	341.6824	151.7437	192.0729	318.0770	250.5345
L-Cysteine	Cysteine								
L-Cystine	Cystine	662.5339	571.3167	331.0487	1158.3644	224.2645	298.1255	735.7493	254.2862
L-Glutamic acid	Glutamic acid	33818.2770	25647.4623	24118.0624	28280.5816	13739.6314	36921.2344	28244.9152	15400.5403
L-Glutamine	Glutamine	89392.6503	67300.7667	57116.5577	90364.8306	81347.8359	85356.3633	109878.2726	116517.5476
L-Glycine	Glycine	37064.7670	32382.8211	27665.3686	32442.5508	29925.4621	42299.4220	39904.5338	54057.9026
L-Histidine	Histidine	16575.7158	13045.2681	11494.5819	17380.9353	11849.6995	17232.9553	18640.3646	16253.1715
L-Homocystine	Homocystine								
L-Homoserine	Homoserine								
L-Isoleucine	Isoleucine	7508.9678	7006.0550	5380.6989	8877.5579	4243.4781	10591.6763	9463.5535	5864.1404
L-Kynurenine	Kynurenine	232.3527	151.4344	159.8792	200.6151	150.9605	143.8078	74.5073	119.2405
L-Leucine	Leucine	35792.8451	30354.8974	33318.1459	31657.9540	22654.6696	48550.9938	37790.6393	32007.4064
L-Lysine	Lysine	274872.6668	203573.8962	207535.9466	239534.5867	174832.2099	315875.9309	288360.9772	232647.2324
L-Methionine	Methionine	19539.7886	14462.9387	18795.3935	12278.1495	12910.1561	20819.5151	21815.6348	15038.7067
L-Phenylalanine	Phenylalanine	10631.8110	8082.5707	7702.9829	9164.2185	6817.1765	9837.9877	8919.4076	7414.7500
L-Pipecolicacid	Pipecolic acid	675.7792	429.4835	522.2472	536.9549	328.0520	2135.9591	727.1944	2085.4642
L-Proline	Proline	17801.0403	13630.8454	14508.0570	14687.6617	10387.0591	17380.6194	18139.0143	16221.2242
L-Serine	Serine	24772.8614	17089.2574	16149.6458	19253.3129	18229.8015	25225.5661	21969.3233	22719.7527
L-Theanine	N(5)-Ethyl-glutamine								
L-Threonine	Threonine	75791.0240	57873.1897	66602.8766	46556.7785	44009.6069	69294.6324	60763.0933	47150.5844
L-Tryptophan	Tryptophan	6651.7808	4696.9640	5807.1139	4524.0471	6141.7931	6356.1358	5103.9710	7470.4404
L-Tyrosine	Tyrosine	225413.3364	150218.1762	169450.3332	135982.9594	140073.0414	209395.8968	182582.7326	165246.6904
L-Valine	Valine	32099.9000	22827.8419	26772.5880	22725.8674	14521.3356	29033.4431	22341.3810	19675.3537
MethionineSulfoxide	Methionine sulfoxide	954.1929	640.3514	880.5612	597.1807	668.3046	882.1902	707.0838	542.6262
N1-Acetylspermidine	N1-Acetylspermidine	142.2707	137.8410	131.7657	145.9372	135.6267	135.1302	138.7212	141.9612
N2-Acetylornithine	N-Acetylornithine	1201.7148	856.4939	879.7280	866.3491	566.7041	900.1496	911.0809	1116.9393
N-(3-Indolylacetyl)-L-alanine	N-(indole-3-acetyl)-alanine	7.4047	7.4774	3.1552	8.1413	2.5020	9.2573	5.2910	3.8792
N6-Acetyl-L-Lysine	N6-Acetyllysine	104.6414	84.0448	39.7226	76.8469	82.9906	96.3848	92.2617	100.1485
N-Acetyl-beta-alanine	N-Acetyl-beta-alanine	24.6425	15.0083	5.5895	23.7175	36.3769	19.4707	34.6507	38.1848
N-acetylglycine	N-Acetylglycine	675.8361	443.4605	439.2491	593.3881	175.2240	294.4730	364.3972	1281.8360
N-acetylisoleucine	N-Acetylisoleucine	47.5047	60.8582	42.0908	45.2045	11.5454	17.2044	30.7265	31.0557
N-Acetyl-L-alanine	N-Acetylalanine	171.6950	91.7148	162.3761	94.5011	25.5491	97.6717	90.7947	37.6972
N-Acetyl-L-asparticacid	N-Acetylaspartic acid								
N-Acetyl-L-glutamicacid	N-Acetyl-mannosamine								
N-Acetyl-L-methionine	N-Acetylmethionine	57.6102	19.9839	28.0711	60.4872	9.7560	28.9972	86.9610	3.4250
N-Acetyl-L-tyrosine	N-Acetyltyrosine	46.7354	30.5951	36.5183	28.0762	41.3351	36.3653	49.6663	40.9938
N-Acetylserotonin	N-Acetylserotonin	2.7586	2.1354	2.4414	1.8390	1.1114	2.1544	1.9286	0.9095
N-Acetyltryptophan	N-Acetyltryptophan	37.1678	43.4636	23.0482	49.7056	8.5952	19.1107	25.2330	17.7484
NAlpha-Acetyl-L-Arginine	N-Acetylarginine	21.0731	13.7622	13.7863	9.8520	5.2670	10.4740	10.7761	5.8963
NAlpha-Acetyl-L-glutamine	N-Acetylglutamine	310.6057	234.1194	209.1868	323.5118	147.2836	200.1830	300.4247	263.1549
N-alpha-Acetyl-L-lysine	N(2)-Acetyllysine	133.7970	99.3384	97.2521	111.3803	69.1728	97.5054	102.5433	78.8564
N-Formyl-L-methionine	N-Formylmethionine	93.1618	64.2409	51.7774	77.1814	26.1965	58.7644	51.6673	26.0064
N-Isovaleroylglycine	Isovalerylglycine	163.4063	108.7624	117.2847	130.2529	78.6270	88.1877	92.7822	50.7697
N-Methyl-L-alanine	N-Methylalanine								
N-TiglylGlycine		341.9802	369.7295	152.3065	395.0256	282.4869	57.9946	273.2612	184.7884
O-Acetylserine	O-Acetylserine								
Ornithine	Ornithine	36288.6282	24137.6158	18421.0628	33497.9179	10954.4139	24267.2957	19701.5187	15191.5049
oxoproline	Oxoproline								
Phenylacetylglutamine	alpha-N-Phenylacetylglutamine	2.5915	2.5129	2.3276	2.2426	3.9184	3.8206	3.6760	4.5333
S-Adenosylhomocysteine	S-Adenosylhomocysteine	42.9472	30.5017	35.1697	35.8862	27.2223	29.1718	26.3708	42.2769
(S)-beta-Aminoisobutyricacid	beta-Aminoisobutyric acid								
serotonin	Serotonin	5265.5390	3754.2864	2929.0798	5002.6912	3568.9656	3946.6120	3753.3666	4232.9965
SuccinicAcid	Succinic acid	9254.7453	6580.1247	2012.5106	13169.5519	1127.3692	4685.1213	5850.7049	1063.3059
TrimethylamineN-Oxide	Trimethylamine N-oxide	720.7138	493.3192	435.2520	664.7118	2313.0490	316.5337	441.2175	269.7762
Tryptophanol	Tryptophanol								
									
